#r(A),E(eV)
1.14,96.923427
1.1742,83.544761
1.2084,71.72995
1.2426,61.353486
1.2768,52.287023
1.311,44.404998
1.3452,37.577708
1.3794,31.681052
1.4136,26.604965
1.4478,22.241614
1.482,18.495149
1.5162,15.281368
1.5504,12.523944
1.5846,10.15778
1.6188,8.1248959
1.653,6.376338
1.6872,4.8734082
1.7214,3.5833235
1.7556,2.473639
1.7898,1.5214379
1.824,0.70866461
1.8582,0.013987458
1.8924,-0.57807806
1.9266,-1.0755686
1.9608,-1.4938479
1.995,-1.8424997
2.0292,-2.1307216
2.0634,-2.3666809
2.0976,-2.5572184
2.1318,-2.7045563
2.166,-2.8148921
2.2002,-2.8964846
2.2344,-2.9532613
2.2686,-2.9845154
2.3028,-2.9960018
2.337,-2.9898915
2.3712,-2.9685836
2.4054,-2.9350635
2.4396,-2.8914059
2.4738,-2.8390523
2.508,-2.7784446
2.5422,-2.7090064
2.5764,-2.6373583
2.6106,-2.5612878
2.6448,-2.481645
2.679,-2.4021152
2.7132,-2.3186458
2.7474,-2.2337815
2.7816,-2.1478936
2.8158,-2.0625675
2.85,-1.9782063
2.8842,-1.8942808
2.9184,-1.8104111
2.9526,-1.7270789
2.9868,-1.6445598
3.021,-1.5624528
3.0552,-1.4836804
3.0894,-1.4078042
3.1236,-1.3350381
3.1578,-1.2651671
3.192,-1.1995457
3.2262,-1.1381781
3.2604,-1.0810894
3.2946,-1.0270224
3.3288,-0.97712226
3.363,-0.92911511
3.3972,-0.88401676
3.4314,-0.84095552
3.4656,-0.80042046
3.4998,-0.76272357
3.534,-0.72678645
3.5682,-0.69221773
3.6024,-0.6610133
3.6366,-0.63143861
3.6708,-0.6038198
3.705,-0.57703463
3.7392,-0.5520845
3.7734,-0.52901665
3.8076,-0.50814541
3.8418,-0.48705999
3.876,-0.46739153
3.9102,-0.44894496
3.9444,-0.43118858
3.9786,-0.41411073
4.0128,-0.39879165
4.047,-0.38487955
4.0812,-0.37144609
4.1154,-0.35806349
4.1496,-0.34635698
4.1838,-0.33588485
4.218,-0.32576754
4.2522,-0.31694421
4.2864,-0.3080055
4.3206,-0.29974016
4.3548,-0.29159644
4.389,-0.28412108
4.4232,-0.27761353
4.4574,-0.2728608
4.4916,-0.26783847
4.5258,-0.26287579
4.56,-0.25857583
